Name	Accession
hsa-miR-4440	MIMAT0018958
hsa-miR-203a-3p	MIMAT0000264
hsa-miR-143-3p	MIMAT0000435
rno-miR-29b-3p	MIMAT0000801
hsa-miR-216b-5p	MIMAT0044331
hsa-miR-6514-3p	MIMAT0025485
hsa-miR-504-5p	MIMAT0048502
hsa-miR-200c-3p	MIMAT0000617
hsa-miR-194-5p	MIMAT0000460
hsa-miR-215-5p	MIMAT0036060
hsa-miR-1299	MIMAT0005887
hsa-miR-133a-5p	MIMAT0048222
hsa-miR-200b-3p	MIMAT0000318
hsa-miR-375-3p	MIMAT0000728
hsa-miR-200b-5p	MIMAT0031609
hsa-miR-6507-5p	MIMAT0025471
hsa-miR-31-5p	MIMAT0046782
hsa-miR-205-5p	MIMAT0048326
hsa-miR-297	MIMAT0004450
hsa-miR-4793-3p	MIMAT0019966
hsa-miR-216a-5p	MIMAT0038242
hsa-miR-21-3p	MIMAT0004494
hsa-miR-196a-3p	MIMAT0004562
hsa-miR-340-5p	MIMAT0049696
hsa-miR-221-3p	MIMAT0000278
hsa-miR-744-3p	MIMAT0004946
hsa-miR-29a-3p	MIMAT0000086
hsa-miR-29b-3p	MIMAT0000100
hsa-miR-126-3p	MIMAT0000445
hsa-miR-146a-5p	MIMAT0036567
hsa-let-7g-5p	MIMAT0047485
hsa-let-7a-3p	MIMAT0004481
hsa-miR-106b-3p	MIMAT0004672
hsa-miR-136-3p	MIMAT0004606
hsa-miR-15b-5p	MIMAT0044158
hsa-miR-128-3p	MIMAT0000424
hsa-miR-142-5p	MIMAT0044045
hsa-miR-27b-3p	MIMAT0000419
hsa-mir-130a	MI0000448
hsa-miR-223-3p	MIMAT0000280
hsa-miR-125b-5p	MIMAT0044093
hsa-let-7a-5p	MIMAT0044081
hsa-miR-150-3p	MIMAT0004610
hsa-miR-198	MIMAT0000228
hsa-miR-124-3p	MIMAT0000422
hsa-miR-622	MIMAT0003291
hsa-miR-629-3p	MIMAT0003298
hsa-miR-490-3p	MIMAT0002806
hsa-miR-516b-3p	MIMAT0002860
hsa-miR-662	MIMAT0003325
hsa-miR-193a-5p	MIMAT0049716
hsa-miR-30b-3p	MIMAT0004589
hsa-miR-3185	MIMAT0015065
hsa-miR-657	MIMAT0003335
hsa-miR-486-5p	MIMAT0015904
hsa-miR-503-3p	MIMAT0022925
hsa-miR-31-3p	MIMAT0004504
hsa-miR-525-3p	MIMAT0002839
hsa-miR-885-5p	MIMAT0048580
hsa-miR-130a-3p	MIMAT0000425
hsa-miR-491-3p	MIMAT0004765
hsa-miR-107	MIMAT0000104
hsa-miR-490-5p	MIMAT0048480
hsa-miR-885-3p	MIMAT0004948
hsa-miR-96-3p	MIMAT0004510
hsa-miR-486-3p	MIMAT0004762
hsa-miR-302c-3p	MIMAT0000717
hsa-miR-637	MIMAT0003307
hsa-miR-612	MIMAT0003280
hsa-miR-552-3p	MIMAT0003215
hsa-miR-34a-3p	MIMAT0004557
hsa-miR-574-5p	MIMAT0049684
hsa-miR-29b-1-5p	MIMAT0000100
hsa-miR-192-3p	MIMAT0004543
hsa-miR-193a-3p	MIMAT0000459
hsa-miR-769-5p	MIMAT0049510
hsa-miR-194-3p	MIMAT0004671
hsa-miR-769-3p	MIMAT0003887
hsa-miR-23b-3p	MIMAT0000418
hsa-miR-222-3p	MIMAT0000279
hsa-miR-185-3p	MIMAT0004611
hsa-miR-890	MIMAT0004912
hsa-miR-574-3p	MIMAT0003239
hsa-miR-29c-3p	MIMAT0000681
hsa-miR-601	MIMAT0003269
hsa-miR-2861	MIMAT0013802
hsa-miR-654-3p	MIMAT0004814
hsa-miR-617	MIMAT0003286
hsa-miR-3152-3p	MIMAT0015025
hsa-miR-551a	MIMAT0003214
hsa-miR-99b-3p	MIMAT0004678
