Entrez_ID	Gene_Symbol	Description
1		alpha-1-B glycoprotein
10		N-acetyltransferase 2
100		adenosine deaminase
1000		cadherin 2
10000		AKT serine/threonine kinase 3
10001		mediator complex subunit 6
10002		nuclear receptor subfamily 2 group E member 3
10003		N-acetylated alpha-linked acidic dipeptidase 2
100037417	Failed_100037417	
10004		N-acetylated alpha-linked acidic dipeptidase like 1
100049587		sialic acid binding Ig like lectin 14
10005		acyl-CoA thioesterase 8
10006		abl interactor 1
10007		glucosamine-6-phosphate deaminase 1
10008		potassium voltage-gated channel subfamily E regulatory subunit 3
10009		zinc finger and BTB domain containing 33
1001		cadherin 3
10010	Failed_10010	
100101267		POM121 transmembrane nucleoporin C
100101467		zinc finger and SCAN domain containing 30
10011		steroid receptor RNA activator 1
100113407		transmembrane protein 170B
100125288		zinc finger GATA like protein 1
100127206	Failed_100127206	
100128327		trafficking protein particle complex subunit 3L
100128553		CTAGE family member 4
100128731		oligosaccharyltransferase complex subunit 4, non-catalytic
100128927		zinc finger and BTB domain containing 42
100129271		KPRP N-terminal and LCE C-terminal like protein
100129583		family with sequence similarity 47 member E
100129654		transcription factor 24
100129669		IZUMO family member 3
100129792		coiled-coil domain containing 152
10013		histone deacetylase 6
100130086		heat shock transcription factor family, X-linked 2
100130361		chromosome X open reading frame 49
100130827		SH3 domain binding kinase family member 3
100130988		sperm microtubule inner protein 7
100131017		zinc finger protein 316
100131137	Failed_100131137	
100131211		nuclear envelope integral membrane protein 2
100131439		CD300 molecule like family member d
100131755		armadillo repeat containing X-linked 4
100131801		PET100 cytochrome c oxidase chaperone
100131902		keratin associated protein 25-1
100132386		keratin associated protein 4-9
100132463	Failed_100132463	
100132476		keratin associated protein 4-7
100132916		shisa like 2B
100132994		chromosome X open reading frame 49B
100133093	Failed_100133093	
100133267		defensin beta 130B
100133941		CD24 molecule
100134934		TEN1 subunit of CST complex
100137047		jumonji domain containing 7
100137049		phospholipase A2 group IVB
10014		histone deacetylase 5
100141515	Failed_100141515	
100142659		CTAGE family member 8
10015		programmed cell death 6 interacting protein
10016		programmed cell death 6
100169851		prostate and testis expressed 3
10017		BCL2 like 10
100170841		elongin BC and polycomb repressive complex 2 associated protein
10018		BCL2 like 11
100188893		translocase of outer mitochondrial membrane 6
10019		SH2B adaptor protein 3
1002		cadherin 4
10020	Failed_10020	
10021		hyperpolarization activated cyclic nucleotide gated potassium channel 4
10022		insulin like 5
10023		FRAT regulator of WNT signaling pathway 1
10024		trophinin associated protein
10025		mediator complex subunit 16
10026		phosphatidylinositol glycan anchor biosynthesis class K
100271849		myocyte enhancer factor 2B
100287144		ubiquitin specific peptidase 17 like family member 10
100287171		WASH complex subunit 1
100287284		MANSC domain containing 4
100287362		serine protease 46, pseudogene
100287399		POTE ankyrin domain family member B2
100287898		tetratricopeptide repeat domain 34
100287932		translocase of inner mitochondrial membrane 23
100288332		nuclear pore complex interacting protein family member A5
100288695		LIM zinc finger domain containing 4
100288797		transmembrane protein 239
100289462		defensin beta 4B
100289678		zinc finger protein 783
100293516		zinc finger protein 587B
1003	Failed_1003	
100302736		TMED7-TICAM2 readthrough
100303755		PET117 cytochrome c oxidase chaperone
100316904		Sin3A associated protein 25
10036		chromatin assembly factor 1 subunit A
10038	Failed_10038	
100381270		zinc finger BED-type containing 6
10039		poly(ADP-ribose) polymerase family member 3
1004		cadherin 6
10040		target of myb1 like 1 membrane trafficking protein
10042		HMG-box containing 4
100423062	Failed_100423062	
10043		target of myb1 membrane trafficking protein
100431172		killer cell lectin like receptor F2
10044		SH2 domain containing 3C
10045		SH2 domain containing 3A
10046		mastermind like domain containing 1
100462977		MT-RNR2 like 1 (pseudogene)
10047		cystatin 8
10048	Failed_10048	
10049	Failed_10049	
100499483		coiled-coil domain containing 180
1005		cadherin 7
10050		solute carrier family 17 member 4
100505385		IQCJ-SCHIP1 readthrough
100506013	Failed_100506013	
100506084	Failed_100506084	
100506144		transmembrane protein 35B
100506164		heat shock transcription factor family, X-linked 1
100506658		occludin
100506736		schlafen family member 12 like
100506888		elongin A3 family member D, pseudogene
100507436	Failed_100507436	
100507588		transforming growth factor beta receptor 3 like
100507679		mucin 22
10051		structural maintenance of chromosomes 4
10052		gap junction protein gamma 1
